Reference, Value, Footprint, Datasheet, Digikey,Quantity
U1,STM32F302K8U6,Housings_DFN_QFN:QFN-32-1EP_5x5mm_Pitch0.5mm,STM32F302K8U6,497-14700-ND,1
U2,MCP1703,MCP1703-SOT-23A,,MCP1703T-3302E/CBCT-ND,1
U3,MAX3051,SOT23-8,CAN Transceiver,MAX3051EKA+TCT-ND,1
X1,16MHz 10ppm,Crystal:Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,TSX3225,SER4069CT-ND,1
D1,LED,LED_SMD:LED_0603_1608Metric,SMD 0603,VLMTG1300-GS08CT-ND,1
R1,510 Ohm,Resistor_SMD:R_0402_1005Metric,SMD 0402,311-510JRCT-ND,1
CONN1,SWD/DEBUG,Connector_Molex:Molex_PicoBlade_53048-1410_1x07_P1.25mm_Horizontal,53047-0710,WM1736-ND,1
"CONN2, CONN3",CAN,Connector_Molex:Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,53261-0471,WM7622CT-ND,2
"J1, J2",CONN_IO,Connector_Molex:Molex_PicoBlade_53261-0871_1x08-1MP_P1.25mm_Horizontal,53261-0871,WM7626CT-ND,2
"C2,C3,C4,C5,C8",0.1uF,Capacitor_SMD:C_0402_1005Metric,SMD 0402,1276-1443-1-ND,5
"C1, C9",1uF,Capacitor_SMD:C_0603_1608Metric,SMD 0603,1276-1036-1-ND,2
C10,22uF,Capacitor_SMD:C_0603_1608Metric,SMD 0603,1276-1193-1-ND,1
"C6, C7",10pF,Capacitor_SMD:C_0402_1005Metric,SMD 0402,1276-1626-1-ND,2
D2,SBR130S3-7,Diode_SMD:D_SOD-323_HandSoldering,SOD-323,SBR130S3-7DICT-ND,1